UMAP1,UMAP2,word,cluster
1.0385178,6.6487393,step,3
1.5664729,4.2388864,offer,7
-0.268945,2.7455027,act,6
0.13923176,5.9954176,sound,3
1.5814681,4.192723,short,7
-0.87547666,2.1003911,beauty,6
0.07154374,5.2845755,clear,9
1.8676788,7.9613748,wear,1
-0.28606123,3.82212,ill,7
0.32764316,7.507846,dark,3
0.724298,2.163405,case,6
0.111211404,5.787536,low,3
-0.4477917,6.7146363,cold,0
-0.80370605,2.3640666,self,6
0.9145723,2.0446181,general,6
1.3285943,6.365518,shake,5
2.9217427,2.9030328,age,6
2.6541858,5.9828844,horse,8
1.1012583,3.162623,harriet,7
1.040036,3.3524058,certainly,5
-0.042513367,2.3949268,regard,6
2.1215873,3.5644948,have,7
0.5963627,1.8439418,different,6
2.943244,7.028804,dinner,7
0.37493366,7.211134,ground,3
0.5948474,3.8790686,hardly,7
4.341719,3.9110498,brooke,4
3.7875986,4.053669,catherine,7
2.882925,1.4582379,land,2
2.2643678,2.2397137,story,5
-0.75185513,3.7696419,happiness,6
-1.040933,3.0615942,cause,0
0.31079078,2.484882,attention,7
0.51708984,3.2533243,able,7
1.9544631,4.8716416,thank,5
0.38871133,3.9235952,usual,7
-0.7671455,1.8485526,natural,6
2.1598275,4.378257,pleasant,7
3.9357693,2.8855872,john,5
1.9467903,2.1322596,teach,6
2.2122777,2.9460812,spend,7
2.7236273,0.8527483,unto,8
-0.25321147,5.3369055,silence,0
-0.42103428,5.5824494,touch,0
2.4753592,5.795089,drive,3
-0.30886397,3.9400017,comfort,7
1.5924149,4.9268436,susanna,0
-0.6187324,1.4241271,virtue,6
0.5333611,1.9631636,society,6
1.9053154,6.388401,picture,1
2.6453426,2.4761508,school,2
0.8476569,3.5057955,account,7
-0.49448162,5.96118,sleep,3
0.45818174,5.201516,quiet,5
4.1560664,4.1088195,heathcliff,4
0.48266503,1.5716544,knowledge,6
2.739511,5.4119205,servant,7
-0.25419617,5.7655597,sight,3
1.931476,5.2419224,beth,5
1.6618415,3.769258,choose,7
0.10270129,5.9403863,fill,3
-0.5695983,1.8275793,seek,0
0.021318749,3.6325195,express,7
1.2872392,4.5875454,easy,5
0.21291433,3.4637768,instead,9
-0.5042654,4.3126464,philip,5
1.3307292,4.048726,fair,9
3.4007432,4.40421,helen,5
-0.3449125,6.785669,earth,3
-1.031054,3.3034034,force,0
-1.1678056,4.75291,past,0
1.3917652,1.9905864,mention,7
1.135404,5.356136,exclaim,5
-0.49212444,5.1499996,strange,0
1.277192,2.4708016,occasion,7
-0.42692438,3.1636426,wrong,5
4.711352,3.6805656,weston,4
1.5004551,3.4146192,conversation,7
2.741488,1.0258919,king,2
0.8214073,5.439069,kiss,5
1.2341446,4.3887267,dare,5
-0.39800948,1.2683041,sex,6
2.0899782,6.976077,paper,1
0.6842213,1.6731044,common,6
2.6399794,0.6947948,thy,0
3.2292318,3.5933921,month,7
2.9239264,7.110058,eat,8
4.8445516,3.5766,march,4
-0.82670605,5.256675,sweet,5
-1.0917732,2.3521118,creature,6
1.420633,1.7186431,free,6
1.556869,4.737048,afraid,5
0.07352643,5.851162,glance,1
2.843973,3.7958755,town,7
-0.06184135,5.7117147,suddenly,3
-0.14953206,5.864099,lip,1
3.0661614,4.0654254,late,7
-0.12691413,3.111197,imagine,7
1.4026154,7.7235723,red,1
0.5090985,7.7466908,flower,1
0.7797109,6.404546,move,3
1.2843044,2.6365507,plan,7
-0.14319865,3.302935,effect,0
0.33919775,5.679885,music,5
3.3220274,5.476386,bit,5
1.0477581,4.229713,notice,7
2.1561139,2.3613563,study,7
1.9924779,3.3420663,rich,6
0.9460951,5.067382,pause,5
4.4151564,3.8729901,darcy,4
-1.2809651,4.1312795,pain,0
2.3640072,2.7741687,line,1
-0.03895413,5.4850316,expression,0
1.9891038,2.8402483,second,7
0.0467689,7.361302,blue,1
0.4316745,3.607612,fancy,5
0.48214412,2.1006222,relation,6
0.91525674,1.6078459,experience,6
0.47192863,2.1496813,necessary,7
-0.55328214,7.1345606,sun,3
0.096432865,5.4419966,strike,9
-0.24771684,6.992288,bright,3
